Date,Price,Open,High,Low,Vol.,Change_Percent
7/1/2011,116.74,111.8,119.87,109.5,3.29M,3.79
8/1/2011,114.85,117,120.4,98.74,4.95M,-1.62
9/1/2011,102.76,114.85,116.6,101.66,4.08M,-10.53
10/1/2011,109.56,102,114.8,99.11,4.03M,6.62
11/1/2011,110.52,109.09,116.48,105.65,4.26M,0.88
12/1/2011,107.38,110.75,111.62,102.37,2.68M,-2.84
1/1/2012,110.98,108.35,115.12,108.35,3.76M,3.35
2/1/2012,122.66,111.3,125.55,111.02,3.83M,10.52
3/1/2012,122.88,123,128.4,120.97,3.79M,0.18
4/1/2012,119.47,122.94,125.97,116.7,3.80M,-2.78
5/1/2012,101.87,119.28,120.02,101.27,4.54M,-14.73
6/1/2012,97.8,101.69,102.45,88.49,4.84M,-4
7/1/2012,104.92,97.6,108.18,95.3,4.21M,7.28
8/1/2012,114.57,104.4,117.03,104.06,3.87M,9.2
9/1/2012,112.39,114.7,117.95,107.1,3.76M,-1.9
10/1/2012,108.7,112.34,116.2,106.8,4.26M,-3.28
11/1/2012,111.23,108.49,112.2,104.76,3.99M,2.33
12/1/2012,111.11,110.96,112.33,106.63,2.73M,-0.11
1/1/2013,115.55,111.5,115.76,109.45,3.83M,4
2/1/2013,111.38,115.77,119.17,110.87,3.74M,-3.61
3/1/2013,110.02,110.9,112.23,106.8,3.71M,-1.22
4/1/2013,102.37,110.15,111.79,96.75,4.68M,-6.95
5/1/2013,100.39,101.82,105.94,98.76,4.31M,-1.93
6/1/2013,102.16,100.15,106.67,99.66,3.89M,1.76
7/1/2013,107.7,101.9,109.72,101.63,4.01M,5.42
8/1/2013,114.01,107.81,117.34,105.85,4.05M,5.86
9/1/2013,108.37,114,116.56,107.22,3.54M,-4.95
10/1/2013,108.84,108.38,112,106.27,4.40M,0.43
11/1/2013,109.69,109.05,111.66,102.98,4.18M,0.78
12/1/2013,110.8,109.6,113.02,107.8,3.10M,1.01
1/1/2014,106.4,111,111.35,105.44,3.92M,-3.97
2/1/2014,109.07,106.4,110.82,105.4,3.28M,2.51
3/1/2014,107.76,109.44,112.39,105.41,3.53M,-1.2
4/1/2014,108.07,107.66,110.65,103.95,3.72M,0.29
5/1/2014,109.41,108.08,111.04,106.85,3.57M,1.24
6/1/2014,112.36,109.7,115.71,107.77,3.92M,2.7
7/1/2014,106.02,112.5,112.83,104.39,4.16M,-5.64
8/1/2014,103.19,105.6,106.85,101.07,3.40M,-2.67
9/1/2014,94.67,102.95,103.3,94.24,3.92M,-8.26
10/1/2014,85.86,94.77,96.23,82.6,4.87M,-9.31
11/1/2014,70.15,85.85,86.4,69.78,4.42M,-18.3
12/1/2014,57.33,70.15,73.03,55.81,4.14M,-18.28
1/1/2015,52.99,58.02,58.54,45.19,5.06M,-7.57
2/1/2015,62.58,52.68,63,51.41,5.13M,18.1
3/1/2015,55.11,62.5,62.5,52.5,4.58M,-11.94
4/1/2015,66.78,55.18,66.93,54,4.36M,21.18
5/1/2015,65.56,66.78,69.63,61.24,4.28M,-1.83
6/1/2015,63.59,65.59,66.36,60.94,4.82M,-3
7/1/2015,52.21,63.02,63.35,51.63,4.72M,-17.9
8/1/2015,54.15,51.55,54.32,42.23,5.04M,3.72
9/1/2015,48.37,52.92,53.47,45.98,4.49M,-10.67
10/1/2015,49.56,48.4,54.05,46.41,4.60M,2.46
11/1/2015,44.61,49.5,50.91,43.15,4.64M,-9.99
12/1/2015,37.28,44.62,45.18,35.98,4.34M,-16.43
1/1/2016,34.74,37.85,38.99,27.1,5.13M,-6.81
2/1/2016,35.97,35.85,37,29.92,6.11M,3.54
3/1/2016,39.6,36.6,42.54,35.95,5.29M,10.09
4/1/2016,48.13,40.14,48.5,37.27,5.67M,21.54
5/1/2016,49.69,47.37,50.51,43.33,5.50M,3.24
6/1/2016,49.68,49.65,52.86,46.69,5.06M,-0.02
7/1/2016,42.46,49.9,50.75,41.8,4.89M,-14.53
8/1/2016,47.04,43.11,51.22,41.51,5.62M,10.79
9/1/2016,49.06,46.98,50.14,45.09,5.44M,4.29
10/1/2016,48.3,50.02,53.73,47.98,5.41M,-1.55
11/1/2016,50.47,48.72,50.49,43.57,6.24M,4.49
12/1/2016,56.82,51.72,57.89,51.51,5.16M,12.58
1/1/2017,55.7,57.05,58.37,53.58,5.55M,-1.97
2/1/2017,55.59,55.55,57.45,54.44,5.08M,-0.2
3/1/2017,52.83,56.45,57.05,49.71,6.24M,-4.96
4/1/2017,51.73,53.62,56.65,50.45,5.47M,-2.08
5/1/2017,50.31,51.88,54.67,46.64,7.34M,-2.75
6/1/2017,47.92,51.17,51.45,44.35,6.85M,-4.75
7/1/2017,52.65,48.95,52.92,46.11,5.44M,9.87
8/1/2017,52.38,52.7,53.64,50,6.33M,-0.51
9/1/2017,57.54,52.84,59.49,51.99,5.05M,9.85
10/1/2017,61.37,56.73,61.41,55.06,6.55M,6.66
11/1/2017,63.57,61.07,64.65,60,6.25M,3.58
12/1/2017,66.87,62.74,67.1,61.13,4.86M,5.19
